,index,NCTId,Inclusion,Exclusion,description,cluster
247,47,NCT02981901,"Ovarian epithelial cancer initially diagnosed in 2012
Age > 18 years old
Residency in France (Rhône-Alpes region, District of Calvados and Cotes d'Or)
First-line ovarian epithelial cancer","Relapsed ovarian epithelial cancer
Non epithelial ovarian cancer","Ovarian epithelial cancer initially diagnosed in 2012
Age > 18 years old
Residency in France (Rhône-Alpes region, District of Calvados and Cotes d'Or)
First-line ovarian epithelial cancerRelapsed ovarian epithelial cancer
Non epithelial ovarian cancer",16
248,48,NCT03232411,"The initial recruitment of cases will be done with 3 mailings: the first to introduce the study to the participant from Florida Cancer Data System (FCDS) of the Florida Department of Health and ask them to complete the eligibility form and contact information update form; a second mailing to those who are determined to be eligible for the study to obtain the Informed Consent Form and the Baseline survey; and a third mailing to those who completed the survey to obtain a saliva sample and medical release form for tissue.
Histologically biopsy confirmed, primary prostate cancer, diagnosed between January 2013 and December 2015
African American or Black; Hispanic Black; Afro-Caribbean
Are at least 20 years old
Are a resident of Florida
Additional criteria may apply",Does not meet Inclusion Criteria,"The initial recruitment of cases will be done with 3 mailings: the first to introduce the study to the participant from Florida Cancer Data System (FCDS) of the Florida Department of Health and ask them to complete the eligibility form and contact information update form; a second mailing to those who are determined to be eligible for the study to obtain the Informed Consent Form and the Baseline survey; and a third mailing to those who completed the survey to obtain a saliva sample and medical release form for tissue.
Histologically biopsy confirmed, primary prostate cancer, diagnosed between January 2013 and December 2015
African American or Black; Hispanic Black; Afro-Caribbean
Are at least 20 years old
Are a resident of Florida
Additional criteria may applyDoes not meet Inclusion Criteria",9
249,49,NCT02016833,"Specific Inclusion criteria
For ovarian cancer patients: Histologically confirmed surgical diagnosis of high-grade serous (or undifferentiated) ovarian cancer
For CIN3 and cervical cancer patients: Histologically confirmed diagnosis of CIN3 or cervical cancer
For AML and CML patients: HLA-A2 positivity and diagnosis of AML or CML confirmed by bone marrow biopsy or peripheral blood
Shared inclusion criteria
No evidence of active progressive disease. For ovarian cancer patients, a woman with a rising CA125 and negative imaging is acceptable
Age ≥ 18 yrs and < 70 yrs
ECOG 0-2
Adequate hematologic assessment (results from the previous standard of care visit):
Absolute neutrophil count (ANC) greater than or equal to 1.0 x 109/L
Platelets greater than or equal to 100 x 109/L.
Written informed consent","Treatment with chemotherapy, radiation therapy, other immunotherapy or non-topical steroids within the past 3 weeks prior to initiation of the study.
Immunosuppressive therapy (excluding topical steroids) for any other condition.
Recurrent/progressive disease confirmed clinically, radiologically or histologically before entry into the study. (exclude versus inclusion criteria)
Persistent fever (>24 hours) documented by repeated measurement or active uncontrolled infection in the last 4 weeks.
Active autoimmune disease, including, but not limited to, SLE, MS, ankylosing spondylitis.","Specific Inclusion criteria
For ovarian cancer patients: Histologically confirmed surgical diagnosis of high-grade serous (or undifferentiated) ovarian cancer
For CIN3 and cervical cancer patients: Histologically confirmed diagnosis of CIN3 or cervical cancer
For AML and CML patients: HLA-A2 positivity and diagnosis of AML or CML confirmed by bone marrow biopsy or peripheral blood
Shared inclusion criteria
No evidence of active progressive disease. For ovarian cancer patients, a woman with a rising CA125 and negative imaging is acceptable
Age ≥ 18 yrs and < 70 yrs
ECOG 0-2
Adequate hematologic assessment (results from the previous standard of care visit):
Absolute neutrophil count (ANC) greater than or equal to 1.0 x 109/L
Platelets greater than or equal to 100 x 109/L.
Written informed consentTreatment with chemotherapy, radiation therapy, other immunotherapy or non-topical steroids within the past 3 weeks prior to initiation of the study.
Immunosuppressive therapy (excluding topical steroids) for any other condition.
Recurrent/progressive disease confirmed clinically, radiologically or histologically before entry into the study. (exclude versus inclusion criteria)
Persistent fever (>24 hours) documented by repeated measurement or active uncontrolled infection in the last 4 weeks.
Active autoimmune disease, including, but not limited to, SLE, MS, ankylosing spondylitis.",2
250,50,NCT00582062,"Men and women 18 years of age and older.
Presentation of gastric or pancreatic cancer based on objective findings on at least one of: CT scan; endoscopy; pathologic examination.
Informed consent, indicating the investigational nature of this study in keeping with the policies of Memorial Sloan-Kettering Cancer Center.
For negative controls, any patient undergoing a laparoscopy for presumed benign disease (e.g., cholecystectomy, hernia repair, BSO)","Under 18 years of age.
Inability to speak or read English, and an appropriate translator is not identifiable.
Unable or unwilling to give informed consent.","Men and women 18 years of age and older.
Presentation of gastric or pancreatic cancer based on objective findings on at least one of: CT scan; endoscopy; pathologic examination.
Informed consent, indicating the investigational nature of this study in keeping with the policies of Memorial Sloan-Kettering Cancer Center.
For negative controls, any patient undergoing a laparoscopy for presumed benign disease (e.g., cholecystectomy, hernia repair, BSO)Under 18 years of age.
Inability to speak or read English, and an appropriate translator is not identifiable.
Unable or unwilling to give informed consent.",13
251,51,NCT02708381,"Patients aged 70 or older with a documented malignancy seen at Lynn Cancer Institute (LCI), as a new or established patient, and for whom a treatment decision has to be made.
Signed written informed consent","Patients younger than 70 years of age
Inability to consent
Inability to complete the study questionnaires (assistance for physical impairments is allowed)
Urgent treatment decision need","Patients aged 70 or older with a documented malignancy seen at Lynn Cancer Institute (LCI), as a new or established patient, and for whom a treatment decision has to be made.
Signed written informed consentPatients younger than 70 years of age
Inability to consent
Inability to complete the study questionnaires (assistance for physical impairments is allowed)
Urgent treatment decision need",6
252,52,NCT00501761,"Survivor of endometrial cancer (survivor group only).
Was diagnosed with Stage I, II, or IIIa endometrial cancer in the past five years (survivor group only).
Completed surgical or radiation treatment at least 6 months ago (survivor group only).
No history of invasive cancer, except for non-melanoma skin cancer (no cancer history group).
Age 45 years of older (no cancer history group).
Female (no cancer history group).
Not pregnant by self-report (no cancer history group).
Speaks and reads English (all participants).
Oriented to person, place, and time (all participants).
Has clearance from their physician to engage in moderate physical activity (all participants).
For web-based maintenance intervention pilot study, women will be included if they have completed their third follow-up assessment.
For web-based maintenance intervention, women are considered ineligible if they do not have internet access.","Engages in programmatic physical activity at moderate or greater intensity on five or more days per week for 30 minutes or more, or vigorous intensity activity 20 minutes or more at least 3 days per week, and have maintained this level of activity for six months or longer.
Have any condition defined by the American College of Sports Medicine's as ""absolute contraindications to exercise testing"" (a recent significant change in the resting ECG suggesting significant ischemia, recent myocardial infarction (within 2 days) or acute cardiac event; unstable angina; uncontrolled cardiac arrhythmias causing symptoms or hemodynamic compromise; severe symptomatic aortic stenosis; uncontrolled symptomatic heart failure; acute pulmonary embolus or pulmonary infarction; acute myocarditis or pericarditis; suspected or known dissecting aneurysm; acute infection).
Have any condition as defined by the American College of Sports Medicine's as ""relative contraindications to exercise testing"" (left main coronary stenosis; moderate stenotic valvular heart disease; electrolyte abnormalities; severe arterial hypertension at rest; hypertrophic cardiomyopathy and other forms of outflow tract obstruction; neuromuscular, musculoskeletal, or rheumatoid disorders that are exacerbated by exercise; high-degree atrioventricular block; ventricular aneurysm; uncontrolled metabolic disease; chronic infectious disease).
Right or left bundle branch block.
Baseline ST segment or T wave changes that would make monitoring of the ECG stress test indeterminate.
Uncontrolled asthma
Have other medical contraindications as defined by the patient's physician.","Survivor of endometrial cancer (survivor group only).
Was diagnosed with Stage I, II, or IIIa endometrial cancer in the past five years (survivor group only).
Completed surgical or radiation treatment at least 6 months ago (survivor group only).
No history of invasive cancer, except for non-melanoma skin cancer (no cancer history group).
Age 45 years of older (no cancer history group).
Female (no cancer history group).
Not pregnant by self-report (no cancer history group).
Speaks and reads English (all participants).
Oriented to person, place, and time (all participants).
Has clearance from their physician to engage in moderate physical activity (all participants).
For web-based maintenance intervention pilot study, women will be included if they have completed their third follow-up assessment.
For web-based maintenance intervention, women are considered ineligible if they do not have internet access.Engages in programmatic physical activity at moderate or greater intensity on five or more days per week for 30 minutes or more, or vigorous intensity activity 20 minutes or more at least 3 days per week, and have maintained this level of activity for six months or longer.
Have any condition defined by the American College of Sports Medicine's as ""absolute contraindications to exercise testing"" (a recent significant change in the resting ECG suggesting significant ischemia, recent myocardial infarction (within 2 days) or acute cardiac event; unstable angina; uncontrolled cardiac arrhythmias causing symptoms or hemodynamic compromise; severe symptomatic aortic stenosis; uncontrolled symptomatic heart failure; acute pulmonary embolus or pulmonary infarction; acute myocarditis or pericarditis; suspected or known dissecting aneurysm; acute infection).
Have any condition as defined by the American College of Sports Medicine's as ""relative contraindications to exercise testing"" (left main coronary stenosis; moderate stenotic valvular heart disease; electrolyte abnormalities; severe arterial hypertension at rest; hypertrophic cardiomyopathy and other forms of outflow tract obstruction; neuromuscular, musculoskeletal, or rheumatoid disorders that are exacerbated by exercise; high-degree atrioventricular block; ventricular aneurysm; uncontrolled metabolic disease; chronic infectious disease).
Right or left bundle branch block.
Baseline ST segment or T wave changes that would make monitoring of the ECG stress test indeterminate.
Uncontrolled asthma
Have other medical contraindications as defined by the patient's physician.",8
253,53,NCT03857477,"Men aged 55 to 69 years.
Caucasian ethnicity.
WHO performance status 0-2 (see Appendix A).
Absence of any psychological, familial, sociological or geographical situation potentially hampering compliance with the study protocol and follow-up schedule.","Non-Caucasian ethnicity (including mixed race or Ashkenazi Jewish (excluded as these groups have different genetic risk profiles from those being studied).
Previous diagnosis of cancer with a life-expectancy of less than five years.
Negative prostate biopsy within one year before recruitment.
Previous diagnosis of prostate cancer.
Co-morbidities making prostate biopsy risk unacceptable (anticoagulants or antiplatelet medication including Warfarin, Clopidogrel, Apixaban, Dabigatran or other NOAC medications (Novel Oral Anti-Coagulant); poorly controlled diabetes or cardiovascular disease).
Men with body mass index (BMI) 40 and above.
Men with BMI 35 and above plus other co-morbidities.
Contraindications to having an MRI (pacemakers, aneurysm clips, claustrophobia).","Men aged 55 to 69 years.
Caucasian ethnicity.
WHO performance status 0-2 (see Appendix A).
Absence of any psychological, familial, sociological or geographical situation potentially hampering compliance with the study protocol and follow-up schedule.Non-Caucasian ethnicity (including mixed race or Ashkenazi Jewish (excluded as these groups have different genetic risk profiles from those being studied).
Previous diagnosis of cancer with a life-expectancy of less than five years.
Negative prostate biopsy within one year before recruitment.
Previous diagnosis of prostate cancer.
Co-morbidities making prostate biopsy risk unacceptable (anticoagulants or antiplatelet medication including Warfarin, Clopidogrel, Apixaban, Dabigatran or other NOAC medications (Novel Oral Anti-Coagulant); poorly controlled diabetes or cardiovascular disease).
Men with body mass index (BMI) 40 and above.
Men with BMI 35 and above plus other co-morbidities.
Contraindications to having an MRI (pacemakers, aneurysm clips, claustrophobia).",1
254,54,NCT00405782,"Metastatic or locally advanced breast cancer not amenable to curative surgery
Life expectance of greater than 12 months
English speaking
Pre- and postmenopausal
Performance status 0-1","Baseline exercise of more than 150 minutes/week
Active brain metastases
Uncontrolled cardiac disease","Metastatic or locally advanced breast cancer not amenable to curative surgery
Life expectance of greater than 12 months
English speaking
Pre- and postmenopausal
Performance status 0-1Baseline exercise of more than 150 minutes/week
Active brain metastases
Uncontrolled cardiac disease",2
255,55,NCT00148993,Patients with measurable metastatic disease or disease resistant to chemotherapy or with minimal residual disease at high risk to relapse.,Karnofsky less than 60%. Unrelated condition requiring the use of any cytotoxic agents or immunosuppressive agents which may interfere with optimal immune response.,Patients with measurable metastatic disease or disease resistant to chemotherapy or with minimal residual disease at high risk to relapse.Karnofsky less than 60%. Unrelated condition requiring the use of any cytotoxic agents or immunosuppressive agents which may interfere with optimal immune response.,1
256,56,NCT01072851,"50-80 years of age,
Registered for an appointment at one of the target clinics,
Speaks English or Spanish.","Patient has had CRC screening in the past 12 months,
Unable to review the study materials because of language, physical condition or literacy.","50-80 years of age,
Registered for an appointment at one of the target clinics,
Speaks English or Spanish.Patient has had CRC screening in the past 12 months,
Unable to review the study materials because of language, physical condition or literacy.",8
257,57,NCT00774839,"65 years or older
Newly diagnosed stage II-III colon cancer
Receiving chemotherapy and at least 4-6 months into chemotherapy treatment, or have received chemotherapy and no more than 7 months post-treatment
Sufficient cognitive capacity as determined by investigator or consenting professional
Able to speak English or Spanish
Able to provide informed consent",,"65 years or older
Newly diagnosed stage II-III colon cancer
Receiving chemotherapy and at least 4-6 months into chemotherapy treatment, or have received chemotherapy and no more than 7 months post-treatment
Sufficient cognitive capacity as determined by investigator or consenting professional
Able to speak English or Spanish
Able to provide informed consentN/A",6
258,58,NCT03460769,"All patients must sign an informed consent indicating that they are aware of the investigational nature of this study. Patients must have signed an authorization for the release of their protected health information.
Patients must be ages ≥40 and <85.
Patients must have a diagnosis of one of the following based on study definitions;
New Onset Diabetes (<3 years) in subjects with Pancreatic Cancer (PDAC);
New Onset Diabetes (<9 years) in subjects with Chronic Pancreatitis;
New Onset Diabetes (<3 years) in subjects without Pancreatic disease (i.e., T2DM)
Long standing T2DM (≥3 years) without Pancreatic disease
Long standing diabetes (≥3 years) in subjects with PDAC
Long standing diabetes (≥9 years) subjects with chronic pancreatitis
non-diabetic subjects with PDAC
non-diabetic subjects with chronic pancreatitis
non-diabetic controls without Pancreatic disease","Patients must not have any significant medical illnesses (including diabetes) that in the investigator's opinion cannot be adequately controlled with appropriate therapy or would compromise the patient's ability to tolerate study interventions.
Diabetes must be stable enough to permit holding diabetes medications following the criteria below:
Subjects taking higher doses of insulin (≥ 0.75 unit/kg/day).
Subjects in the non-pancreatic disease subgroup (i.e., T2DM) on longer acting agents, including thiazolidinediones and once-weekly GLP-1 agonists (Bydureon [exenatide], Ozempic [semaglutide], Trulicity [dulaglutide]). Conversely, the use of these medications is permitted for subjects in the CP and PDAC groups.
Patients currently receiving oral steroid medications.
Hospitalization for acute pancreatitis within 2 months before study visit (with the exception of subjects enrolled into the PDAC group as this may be a symptom of the disease).
The presence of a symptomatic cyst in subjects with CP. The presence of a cyst in subjects with pancreatic cancer is not an exclusion, including cancer arising from a mucinous cystic lesion.
Any subject with a pancreatic cancer histologic subtype other than adenocarcinoma (e.g., subjects with pancreatic neuroendocrine tumors are excluded).
Previous pancreatic surgery (including total pancreatectomy, pancreaticoduodenectomy, distal pancreatectomy, pancreaticojejunostomy, enucleation, or Frey procedure).
Previous treatment for pancreatic cancer, including chemotherapy or radiation.
Previous vagotomy or gastric surgery, including endoscopic gastric reduction procedures.
Previous diagnosis of gastroparesis.
Patients on treatment for any cancer (except non-melanoma skin cancer or carcinoma in-situ of the cervix).
Allergy or intolerance to ingredients in Boost drink.","All patients must sign an informed consent indicating that they are aware of the investigational nature of this study. Patients must have signed an authorization for the release of their protected health information.
Patients must be ages ≥40 and <85.
Patients must have a diagnosis of one of the following based on study definitions;
New Onset Diabetes (<3 years) in subjects with Pancreatic Cancer (PDAC);
New Onset Diabetes (<9 years) in subjects with Chronic Pancreatitis;
New Onset Diabetes (<3 years) in subjects without Pancreatic disease (i.e., T2DM)
Long standing T2DM (≥3 years) without Pancreatic disease
Long standing diabetes (≥3 years) in subjects with PDAC
Long standing diabetes (≥9 years) subjects with chronic pancreatitis
non-diabetic subjects with PDAC
non-diabetic subjects with chronic pancreatitis
non-diabetic controls without Pancreatic diseasePatients must not have any significant medical illnesses (including diabetes) that in the investigator's opinion cannot be adequately controlled with appropriate therapy or would compromise the patient's ability to tolerate study interventions.
Diabetes must be stable enough to permit holding diabetes medications following the criteria below:
Subjects taking higher doses of insulin (≥ 0.75 unit/kg/day).
Subjects in the non-pancreatic disease subgroup (i.e., T2DM) on longer acting agents, including thiazolidinediones and once-weekly GLP-1 agonists (Bydureon [exenatide], Ozempic [semaglutide], Trulicity [dulaglutide]). Conversely, the use of these medications is permitted for subjects in the CP and PDAC groups.
Patients currently receiving oral steroid medications.
Hospitalization for acute pancreatitis within 2 months before study visit (with the exception of subjects enrolled into the PDAC group as this may be a symptom of the disease).
The presence of a symptomatic cyst in subjects with CP. The presence of a cyst in subjects with pancreatic cancer is not an exclusion, including cancer arising from a mucinous cystic lesion.
Any subject with a pancreatic cancer histologic subtype other than adenocarcinoma (e.g., subjects with pancreatic neuroendocrine tumors are excluded).
Previous pancreatic surgery (including total pancreatectomy, pancreaticoduodenectomy, distal pancreatectomy, pancreaticojejunostomy, enucleation, or Frey procedure).
Previous treatment for pancreatic cancer, including chemotherapy or radiation.
Previous vagotomy or gastric surgery, including endoscopic gastric reduction procedures.
Previous diagnosis of gastroparesis.
Patients on treatment for any cancer (except non-melanoma skin cancer or carcinoma in-situ of the cervix).
Allergy or intolerance to ingredients in Boost drink.",12
259,59,NCT01958112,"Recurrent or metastatic cervical cancer of any histology
Measurable disease by RECIST 1.1.
Prior Therapy:
At least one prior chemotherapy regimen for management of cervical cancer. Radiation-sensitizing chemotherapy will not be counted as a systemic chemotherapy regimen
Patients can have received one additional regimen for treatment
No prior receipt of PI3K or RAS-ERK pathway inhibitors
Age ≥ 18 years
Life expectancy > 3 mos
ECOG performance status ≤ 2
Participants must have normal organ function as defined below:
Absolute Neutrophil Count (ANC)≥ 1,500/mcL
Platelets ≥ 100,000/mcL
Hemoglobin > 9.0/dL
AST (SGOT) and ALT (SGPT) ≤ 2.5 × institutional ULN
Total Bilirubin within normal institutional limits
Albumin ≥ 2.5 g/dL
Creatinine ≤ upper limit of institutional normal or creatinine clearance ≥ 50 mL/min/1.73 m2 for subjects with creatinine levels above institutional normal or ≥ 50 mL/min 24-hour creatinine clearance
Normal LVEF
Normal fasting Blood Glucose
Availability of a formalin fixed paraffin embedded (FFPE) block of cancer tissue
Normal blood pressure (systolic < 140 mmHg and diastolic < 90 mmHg)
Women of childbearing potential must agree to use two forms of contraception (hormonal or barrier method of birth control; abstinence) prior to study entry and for the duration of study participation
Toxicities of prior therapy (excepting alopecia) should be resolved to ≤ grade 1
Ability to tolerate oral medications and no malabsorption
Ability to sign an informed consent","No previous chemotherapy within 3 weeks (6 weeks for nitrosoureas or mitomycin C,) or radiation therapy within 2 weeks prior to entering the study
No use of investigational agents nor have participated in an investigational trial within the past 4 weeks (or five half-lives whichever is shorter; with a minimum of 14 days from the last dose).
Presence of active GI disease that could affect GI absorption or predispose a subject to GI ulceration.
Evidence of mucosal of internal bleeding
Major surgery within the last 4 weeks
No Type 1 diabetes; however, patients with Type 2 diabetes are eligible if diagnosed ≥ 6 months prior to enrollment and if hemoglobin A1C (HbA1C) ≤ 8% at screening.
Symptomatic or unstable brain metastases or asymptomatic and untreated but > 1 cm in the longest dimension
Symptomatic or untreated leptomeningeal or spinal cord compression.
Individuals with a history of a different malignancy are ineligible except for the following circumstances: the following cancers are eligible if diagnosed and treated within the past 3 years: breast cancer in situ and basal cell or squamous cell carcinoma of the skin, stage I colon carcinoma confined to a polyp.
Any serious and/or unstable pre-existing medical disorders
Known infection with HIV, Hepatitis B Virus, or Hepatitis C Virus
Chronic use of drugs that are strong inhibitors or inducers of p450 CYP3A4
known immediate or delayed hypersensitivity reaction or idiosyncrasy to study drugs
History of interstitial lung disease or pneumonitis.
Presence of cardiac metastases
Subject with intra-cardiac defibrillators or pacemaker.
History or current evidence / risk of retinal vein occlusion (RVO) or central serous retinopathy (CSR)
History of RVO or CSR, or predisposing factors to RVO or CSR
Visible retinal pathology as assessed by ophthalmic exam
History or evidence of cardiovascular risk including any of the following
QTcF≥ 480 msec ( ≥ 500 msec for subject with bundle branch block)
History or evidence of current clinically significant uncontrolled arrhythmias. (Exception: controlled atrial fibrillation for >30 days prior to randomization)
History of acute coronary syndromes (including myocardial infarction and unstable angina), coronary angioplasty, or stenting within 6 months of study entry.
Class II or higher congestive heart failure.","Recurrent or metastatic cervical cancer of any histology
Measurable disease by RECIST 1.1.
Prior Therapy:
At least one prior chemotherapy regimen for management of cervical cancer. Radiation-sensitizing chemotherapy will not be counted as a systemic chemotherapy regimen
Patients can have received one additional regimen for treatment
No prior receipt of PI3K or RAS-ERK pathway inhibitors
Age ≥ 18 years
Life expectancy > 3 mos
ECOG performance status ≤ 2
Participants must have normal organ function as defined below:
Absolute Neutrophil Count (ANC)≥ 1,500/mcL
Platelets ≥ 100,000/mcL
Hemoglobin > 9.0/dL
AST (SGOT) and ALT (SGPT) ≤ 2.5 × institutional ULN
Total Bilirubin within normal institutional limits
Albumin ≥ 2.5 g/dL
Creatinine ≤ upper limit of institutional normal or creatinine clearance ≥ 50 mL/min/1.73 m2 for subjects with creatinine levels above institutional normal or ≥ 50 mL/min 24-hour creatinine clearance
Normal LVEF
Normal fasting Blood Glucose
Availability of a formalin fixed paraffin embedded (FFPE) block of cancer tissue
Normal blood pressure (systolic < 140 mmHg and diastolic < 90 mmHg)
Women of childbearing potential must agree to use two forms of contraception (hormonal or barrier method of birth control; abstinence) prior to study entry and for the duration of study participation
Toxicities of prior therapy (excepting alopecia) should be resolved to ≤ grade 1
Ability to tolerate oral medications and no malabsorption
Ability to sign an informed consentNo previous chemotherapy within 3 weeks (6 weeks for nitrosoureas or mitomycin C,) or radiation therapy within 2 weeks prior to entering the study
No use of investigational agents nor have participated in an investigational trial within the past 4 weeks (or five half-lives whichever is shorter; with a minimum of 14 days from the last dose).
Presence of active GI disease that could affect GI absorption or predispose a subject to GI ulceration.
Evidence of mucosal of internal bleeding
Major surgery within the last 4 weeks
No Type 1 diabetes; however, patients with Type 2 diabetes are eligible if diagnosed ≥ 6 months prior to enrollment and if hemoglobin A1C (HbA1C) ≤ 8% at screening.
Symptomatic or unstable brain metastases or asymptomatic and untreated but > 1 cm in the longest dimension
Symptomatic or untreated leptomeningeal or spinal cord compression.
Individuals with a history of a different malignancy are ineligible except for the following circumstances: the following cancers are eligible if diagnosed and treated within the past 3 years: breast cancer in situ and basal cell or squamous cell carcinoma of the skin, stage I colon carcinoma confined to a polyp.
Any serious and/or unstable pre-existing medical disorders
Known infection with HIV, Hepatitis B Virus, or Hepatitis C Virus
Chronic use of drugs that are strong inhibitors or inducers of p450 CYP3A4
known immediate or delayed hypersensitivity reaction or idiosyncrasy to study drugs
History of interstitial lung disease or pneumonitis.
Presence of cardiac metastases
Subject with intra-cardiac defibrillators or pacemaker.
History or current evidence / risk of retinal vein occlusion (RVO) or central serous retinopathy (CSR)
History of RVO or CSR, or predisposing factors to RVO or CSR
Visible retinal pathology as assessed by ophthalmic exam
History or evidence of cardiovascular risk including any of the following
QTcF≥ 480 msec ( ≥ 500 msec for subject with bundle branch block)
History or evidence of current clinically significant uncontrolled arrhythmias. (Exception: controlled atrial fibrillation for >30 days prior to randomization)
History of acute coronary syndromes (including myocardial infarction and unstable angina), coronary angioplasty, or stenting within 6 months of study entry.
Class II or higher congestive heart failure.",7
260,60,NCT02508662,"Patients with advanced or metastatic cancer that is refractory to standard therapy or that has relapsed after standard therapy or has no standard therapy that increases survival by at least three months.
Patients with a potentially actionable genomic alteration.
All prior treatment-related toxicities must be resolved to CTCAE (Version 4.0) < or = Grade 2 (except alopecia) at the time of screening.
Patients willing to sign informed consent.
Patients under the age of 18 years old are allowed as long as the safety profile of the drug is established in the pediatric population.","Any serious and/or unstable pre-existing medical disorder, psychiatric disorder, or other conditions that could interfere with subject's safety, obtaining informed consent or compliance to the study procedures, in the opinion of the Investigator.
Have a known immediate or delayed hypersensitivity reaction or idiosyncrasy to drugs chemically related to planned treatment drug.
Rapidly progressing leptomeningeal or brain metastases or spinal cord compression.
Clinical trial (including targeted and/or non-targeted) other than registry study is available; patient is willing and eligible to enroll in such trial.","Patients with advanced or metastatic cancer that is refractory to standard therapy or that has relapsed after standard therapy or has no standard therapy that increases survival by at least three months.
Patients with a potentially actionable genomic alteration.
All prior treatment-related toxicities must be resolved to CTCAE (Version 4.0) < or = Grade 2 (except alopecia) at the time of screening.
Patients willing to sign informed consent.
Patients under the age of 18 years old are allowed as long as the safety profile of the drug is established in the pediatric population.Any serious and/or unstable pre-existing medical disorder, psychiatric disorder, or other conditions that could interfere with subject's safety, obtaining informed consent or compliance to the study procedures, in the opinion of the Investigator.
Have a known immediate or delayed hypersensitivity reaction or idiosyncrasy to drugs chemically related to planned treatment drug.
Rapidly progressing leptomeningeal or brain metastases or spinal cord compression.
Clinical trial (including targeted and/or non-targeted) other than registry study is available; patient is willing and eligible to enroll in such trial.",2
